ProductID,Category,Sub Category,Product Name ,Price,COGSPrice,Discount
PRO00001,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00002,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.1
PRO00003,Office Supplies,Storage,Pinebrook Storage ,299,150,0.11
PRO00004,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.12
PRO00005,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00006,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.1
PRO00007,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00008,Office Supplies,Appliances,Calculator,25,19,0
PRO00009,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00010,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00011,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00012,Furniture,Tables,Liberty Dining Table,899,450,0
PRO00013,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00014,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.15
PRO00015,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00016,Technology,Phones,Iphone 15,1299,999.99,0.1
PRO00017,Office Supplies,Appliances,Calculator,25,19,0.1
PRO00018,Technology,Accessories,Projector,999,699,0.1
PRO00019,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00020,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00021,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00022,Office Supplies,Art,Highlighter,99,47,0
PRO00023,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00024,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.12
PRO00025,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.13
PRO00026,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00027,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00028,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00029,Technology,Accessories,Projector,999,699,0.1
PRO00030,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00031,Office Supplies,Art,Highlighter,99,47,0.1
PRO00032,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.1
PRO00033,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.11
PRO00034,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00035,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00036,Technology,Accessories,Projector,999,699,0.1
PRO00037,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0
PRO00038,Office Supplies,Art,Highlighter,99,47,0
PRO00039,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00040,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00041,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00042,Office Supplies,Art,Highlighter,99,47,0
PRO00043,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00044,Office Supplies,Appliances,Calculator,25,19,0.15
PRO00045,Office Supplies,Art,Highlighter,99,47,0.12
PRO00046,Office Supplies,Art,Highlighter,99,47,0.1
PRO00047,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00048,Furniture,Furnishings,Cozyhaven Throw,59,30,0.1
PRO00049,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00050,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00051,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00052,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00053,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00054,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.11
PRO00055,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.12
PRO00056,Technology,Accessories,Projector,999,699,0.12
PRO00057,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.1
PRO00058,Office Supplies,Art,Highlighter,99,47,0
PRO00059,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00060,Office Supplies,Binders,ProFile Binder,12.99,6,0
